Username,Handle,Timestamp,Text,Replys,Retweets,Likes
Thabata Campos Belli com 3 doses no braço,@ThabataBelli,2021-12-04T06:20:16.000Z,"Não, imagina, jamais seria #MamataFrias,não é mesmo 
@mfriasoficial
 ? Até mesmo pq o que afunda o país são os vampiros da #rouanet .
Desmentindo Bolsonaro
@desmentindobozo
 · 19 h
Só porque estão dizendo que o Mario Frias contratou uma empresa sem funcionários e sediada em uma caixa postal dentro de escritório virtual por R$ 3,6 milhões, SEM LICITAÇÃO, vocês querem chamar ele de #MamataFrias? Que absurdo!

Não incentivamos o uso de #MamataFrias!",,,
Tonni D. Sanctus,@BadgerWolverine,2021-11-28T03:47:26.000Z,"Não existe mulher feia, o que existe são mulheres que não usam os produtos #Rouanet.
1",,,1
Emanuele Kent,@emanuelekent,2021-11-22T01:46:14.000Z,"A revolta do SIKERA essa semana sobre a lei #Rouanet  kkkkk kkkkk e a falta dela deixou os artistas mais doidos.
3",,,3
Pleno.News,@PlenoNews,2021-11-13T12:39:39.000Z,"Portaria do governo que proíbe linguagem neutra é alvo do MPF
#Linguagemneutra #MPF #Rouanet #PlenoNews
pleno.news
Portaria do governo que proíbe linguagem neutra é alvo do MPF
Esta em análise regra que incide em projetos financiados pela Lei Rouanet
3
9
23",3,9,23
Pleno.News,@PlenoNews,2021-11-10T15:01:20.000Z,"Daniela Lima zomba de medida de Mario Frias para Lei Roaunet
#DanielaLima #CNN #Rouanet #PlenoNews
pleno.news
Daniela Lima zomba de medida de Mário Frias para Lei Roaunet
Âncora da CNN é crítica do governo federal
3
4
13",3,4,13
Pensador TK (Walter Luís) - #AglomeraBrasil,@masterfocus,2021-11-01T11:49:31.000Z,"A sanha autoritária da 
@folha
  não está no gibi.
Parabéns mais uma vez, André!
#rouanet #folhalixo #BolsonaroReeleito
André Porciuncula
@andreporci
 · 1 de nov
Folha, deixe de ser ridícula! Não venha com esse papinho furado de censura. Não impedimos você de usar a dita linguagem neutra. Escreva quantas matérias quiser, faça quantos eventos quiser, só não irá pegar dinheiro público federal para estimular a destruição planejada da língua.
2",,,2
Fco_leandro,@Leandro_011276,2021-10-30T15:19:46.000Z,"Em resposta a 
@guimaraes13PT
 e 
@mariamarighella
Filme horrível ... Muito fraco ... Faltou bom pitada do grande #rouanet",,,
Joël SOLARI,@SolariJol,2021-10-29T15:18:13.000Z,"https://huffingtonpost.fr/entry/pour-une-jeune-femme-de-33-ans-faire-un-avc-etait-impensable-pourtant-cest-mon-histoire-blog_fr_617a6aefe4b03072d7005fd9…
Cette jeune femme est incroyable !
#journeemondialedelavc 
@philippemeynard
 
#Rouanet #Sibon 
@yannbubien
 @CHUBordeaux
huffingtonpost.fr
""Pour une jeune femme de 33 ans, faire un AVC était impensable. Pourtant, c’est mon histoire""
""Comme huit personnes handicapées sur dix, mon handicap est invisible, personne ne peut deviner en me croisant dans la rue ce que je vis au quotidien"" raconte Margot.
1
3
6",1,3,6
Joël SOLARI,@SolariJol,2021-10-29T08:38:23.000Z,"De vrais spécialistes 
@yannbubien
 @charles_cazanav
 Merci #Sibon #Rouanet 
@philippemeynard
Charles.Cazanave
@charles_cazanav
 · 29 de out
Journée mondiale de l’AVC : Merci à nos médecins spécialistes du @CHUBordeaux pour leur grande implication, Dr F. ROUANET & Pr I. SIBON. Opération #MinibusAVC sur la place de la Victoire ce jour @philippemeynard  @SO_Bordeaux
5",,,5
"Luiz Vidaum - Brasil, sempre!",@luizvidaum,2021-10-25T00:06:16.000Z,"Em resposta a 
@mfriasoficial
Que saudades de uma verba fácil dos tontos pagadores de impostos, pra fazer filme bosta! 
#triste #rouanet #pedeprasair #vaidarmerda",,,
